"50245608_0_871275842592178099","0","1","http://dbpedia.org/ontology/releaseDate"
"29414811_12_251152470253168163","1","2","http://dbpedia.org/ontology/genre"
"88523363_0_8180214313099580515","0","2","http://dbpedia.org/ontology/family"
"14067031_0_559833072073397908","0","7","http://dbpedia.org/ontology/currency"
"26310680_0_5150772059999313798","1","2","http://dbpedia.org/ontology/currencyCode"
"14380604_4_3329235705746762392","1","2","http://dbpedia.org/ontology/headquarter"
"1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2","0","2","http://dbpedia.org/ontology/elevation"
"35188621_0_6058553107571275232","1","3","http://dbpedia.org/ontology/director"
"50245608_0_871275842592178099","0","4","http://dbpedia.org/ontology/writer"
"77694908_0_6083291340991074532","1","3","http://dbpedia.org/ontology/director"
"75367212_2_2745466355267233390","0","1","http://dbpedia.org/ontology/developer"
"11833461_1_3811022039809817402","0","1","http://dbpedia.org/ontology/publisher"
"38428277_0_1311643810102462607","1","3","http://dbpedia.org/ontology/director"
"41336118_0_4331895026409635103","0","5","http://dbpedia.org/ontology/assets"
"14380604_4_3329235705746762392","1","4","http://dbpedia.org/ontology/revenue"
"22864497_0_8632623712684511496","0","6","http://dbpedia.org/ontology/Software/fileSize"
"58891288_0_1117541047012405958","1","3","http://dbpedia.org/ontology/director"
"41336118_0_4331895026409635103","0","2","http://dbpedia.org/ontology/industry"
"50245608_0_871275842592178099","0","5","http://dbpedia.org/ontology/duration"
"24036779_0_5608105867560183058","0","3","http://dbpedia.org/ontology/grossDomesticProduct"
"90196673_0_5458330029110291950","0","1","http://dbpedia.org/ontology/synonym"
"21245481_0_8730460088443117515","1","0","http://dbpedia.org/ontology/location"
"14380604_4_3329235705746762392","1","3","http://dbpedia.org/ontology/industry"
"84548468_0_5955155464119382182","1","3","http://dbpedia.org/ontology/director"
"20135078_0_7570343137119682530","1","2","http://dbpedia.org/ontology/releaseDate"
"39107734_2_2329160387535788734","1","3","http://dbpedia.org/ontology/iataLocationIdentifier"
"34041816_1_4749054164534706977","1","3","http://dbpedia.org/ontology/iataLocationIdentifier"
"39173938_0_7916056990138658530","1","3","http://dbpedia.org/ontology/director"
"60319454_0_3938426910282115527","0","1","http://dbpedia.org/ontology/synonym"
"71840765_0_6664391841933033844","0","2","http://dbpedia.org/ontology/elevation"
"29414811_12_251152470253168163","1","0","http://dbpedia.org/ontology/year"
